miRNA	lncRNA
hsa-let-7c-5p	MIR4435-2HG
hsa-let-7c-5p	MIR4435-2HG
hsa-let-7c-5p	AC124045.1
hsa-let-7c-5p	AC093535.2
hsa-let-7c-5p	SNHG4
hsa-let-7c-5p	SNHG4
hsa-let-7c-5p	SNHG4
hsa-let-7c-5p	HEIH
hsa-let-7c-5p	HEIH
hsa-let-7c-5p	RNF216P1
hsa-let-7c-5p	RNF216P1
hsa-let-7c-5p	AC004921.1
hsa-let-7c-5p	MIR124-2HG
hsa-let-7c-5p	CYP4F26P
hsa-let-7c-5p	LINC00963
hsa-let-7c-5p	NUTM2A-AS1
hsa-let-7c-5p	KCNQ1OT1
hsa-let-7c-5p	KCNQ1OT1
hsa-let-7c-5p	KCNQ1OT1
hsa-let-7c-5p	KCNQ1OT1
hsa-let-7c-5p	KCNQ1OT1
hsa-let-7c-5p	KCNQ1OT1
hsa-let-7c-5p	KCNQ1OT1
hsa-let-7c-5p	KCNQ1OT1
hsa-let-7c-5p	LINC00294
hsa-let-7c-5p	NEAT1
hsa-let-7c-5p	NEAT1
hsa-let-7c-5p	NEAT1
hsa-let-7c-5p	AP000766.1
hsa-let-7c-5p	AC125807.2
hsa-let-7c-5p	AC006064.5
hsa-let-7c-5p	KLRK1-AS1
hsa-let-7c-5p	LINC02381
hsa-let-7c-5p	AC125603.1
hsa-let-7c-5p	TPT1-AS1
hsa-let-7c-5p	TPT1-AS1
hsa-let-7c-5p	TPT1-AS1
hsa-let-7c-5p	VASH1-AS1
hsa-let-7c-5p	AL162171.3
hsa-let-7c-5p	AL162171.3
hsa-let-7c-5p	AL162171.3
hsa-let-7c-5p	MEG3
hsa-let-7c-5p	MEG3
hsa-let-7c-5p	MIR9-3HG
hsa-let-7c-5p	AC109460.3
hsa-let-7c-5p	AC106886.4
hsa-let-7c-5p	AC020978.5
hsa-let-7c-5p	SNHG30
hsa-let-7c-5p	AC008105.2
hsa-let-7c-5p	AC037487.4
hsa-let-7c-5p	SNHG16
hsa-let-7c-5p	AC087741.1
hsa-let-7c-5p	LINC00668
hsa-let-7c-5p	LINC00665
hsa-let-7c-5p	AC243964.4
hsa-let-7c-5p	SPACA6P-AS
hsa-let-7c-5p	ZNF337-AS1
hsa-let-7c-5p	ZNF337-AS1
hsa-let-7c-5p	AC003681.1
hsa-let-7c-5p	AC003681.1
hsa-let-7c-5p	AC003681.1
hsa-let-7c-5p	XIST
hsa-let-7c-5p	XIST
hsa-let-7c-5p	XIST
hsa-let-7c-5p	XIST
hsa-let-7d-5p	ZNF436-AS1
hsa-let-7d-5p	AL359762.3
hsa-let-7d-5p	MIR137HG
hsa-let-7d-5p	AL160006.1
hsa-let-7d-5p	THBS3-AS1
hsa-let-7d-5p	ASH1L-AS1
hsa-let-7d-5p	AC074117.1
hsa-let-7d-5p	AC074117.1
hsa-let-7d-5p	AC074117.1
hsa-let-7d-5p	CYTOR
hsa-let-7d-5p	MIR4435-2HG
hsa-let-7d-5p	MIR4435-2HG
hsa-let-7d-5p	MIR4435-2HG
hsa-let-7d-5p	AC124045.1
hsa-let-7d-5p	AC093535.2
hsa-let-7d-5p	SNHG4
hsa-let-7d-5p	SNHG4
hsa-let-7d-5p	SNHG4
hsa-let-7d-5p	HEIH
hsa-let-7d-5p	HEIH
hsa-let-7d-5p	RNF216P1
hsa-let-7d-5p	RNF216P1
hsa-let-7d-5p	AC004921.1
hsa-let-7d-5p	MIR124-2HG
hsa-let-7d-5p	CYP4F26P
hsa-let-7d-5p	LINC00963
hsa-let-7d-5p	NUTM2A-AS1
hsa-let-7d-5p	KCNQ1OT1
hsa-let-7d-5p	KCNQ1OT1
hsa-let-7d-5p	KCNQ1OT1
hsa-let-7d-5p	KCNQ1OT1
hsa-let-7d-5p	KCNQ1OT1
hsa-let-7d-5p	KCNQ1OT1
hsa-let-7d-5p	KCNQ1OT1
hsa-let-7d-5p	KCNQ1OT1
hsa-let-7d-5p	LINC00294
hsa-let-7d-5p	NEAT1
hsa-let-7d-5p	NEAT1
hsa-let-7d-5p	NEAT1
hsa-let-7d-5p	AP000766.1
hsa-let-7d-5p	AC125807.2
hsa-let-7d-5p	AC006064.5
hsa-let-7d-5p	KLRK1-AS1
hsa-let-7d-5p	LINC02381
hsa-let-7d-5p	AC125603.1
hsa-let-7d-5p	TPT1-AS1
hsa-let-7d-5p	TPT1-AS1
hsa-let-7d-5p	TPT1-AS1
hsa-let-7d-5p	VASH1-AS1
hsa-let-7d-5p	AL162171.3
hsa-let-7d-5p	AL162171.3
hsa-let-7d-5p	AL162171.3
hsa-let-7d-5p	MEG3
hsa-let-7d-5p	MEG3
hsa-let-7d-5p	MIR9-3HG
hsa-let-7d-5p	AC109460.3
hsa-let-7d-5p	AC106886.4
hsa-let-7d-5p	AC020978.5
hsa-let-7d-5p	SNHG30
hsa-let-7d-5p	AC008105.2
hsa-let-7d-5p	AC037487.4
hsa-let-7d-5p	SNHG16
hsa-let-7d-5p	AC087741.1
hsa-let-7d-5p	LINC00668
hsa-let-7d-5p	LINC00665
hsa-let-7d-5p	AC243964.4
hsa-let-7d-5p	SPACA6P-AS
hsa-let-7d-5p	ZNF337-AS1
hsa-let-7d-5p	ZNF337-AS1
hsa-let-7d-5p	AC003681.1
hsa-let-7d-5p	AC003681.1
hsa-let-7d-5p	AC003681.1
hsa-let-7d-5p	XIST
hsa-let-7d-5p	XIST
hsa-let-7d-5p	XIST
hsa-let-7d-5p	XIST
hsa-let-7e-5p	ZNF436-AS1
hsa-let-7e-5p	AL359762.3
hsa-let-7e-5p	MIR137HG
hsa-let-7e-5p	AL160006.1
hsa-let-7e-5p	THBS3-AS1
hsa-let-7e-5p	ASH1L-AS1
hsa-let-7e-5p	AC074117.1
hsa-let-7e-5p	AC074117.1
hsa-let-7e-5p	CYTOR
hsa-let-7e-5p	MIR4435-2HG
hsa-let-7e-5p	MIR4435-2HG
hsa-let-7e-5p	MIR4435-2HG
hsa-let-7e-5p	AC124045.1
hsa-let-7e-5p	AC093535.2
hsa-let-7e-5p	SNHG4
hsa-let-7e-5p	SNHG4
hsa-let-7e-5p	SNHG4
hsa-let-7e-5p	HEIH
hsa-let-7e-5p	HEIH
hsa-let-7e-5p	RNF216P1
hsa-let-7e-5p	RNF216P1
hsa-let-7e-5p	AC004921.1
hsa-let-7e-5p	MIR124-2HG
hsa-let-7e-5p	CYP4F26P
hsa-let-7e-5p	LINC00963
hsa-let-7e-5p	NUTM2A-AS1
hsa-let-7e-5p	KCNQ1OT1
hsa-let-7e-5p	KCNQ1OT1
hsa-let-7e-5p	KCNQ1OT1
hsa-let-7e-5p	KCNQ1OT1
hsa-let-7e-5p	KCNQ1OT1
hsa-let-7e-5p	KCNQ1OT1
hsa-let-7e-5p	KCNQ1OT1
hsa-let-7e-5p	KCNQ1OT1
hsa-let-7e-5p	LINC00294
hsa-let-7e-5p	NEAT1
hsa-let-7e-5p	NEAT1
hsa-let-7e-5p	NEAT1
hsa-let-7e-5p	AP000766.1
hsa-let-7e-5p	AC125807.2
hsa-let-7e-5p	AC006064.5
hsa-let-7e-5p	KLRK1-AS1
hsa-let-7e-5p	LINC02381
hsa-let-7e-5p	AC125603.1
hsa-let-7e-5p	TPT1-AS1
hsa-let-7e-5p	TPT1-AS1
hsa-let-7e-5p	TPT1-AS1
hsa-let-7e-5p	VASH1-AS1
hsa-let-7e-5p	AL162171.3
hsa-let-7e-5p	AL162171.3
hsa-let-7e-5p	AL162171.3
hsa-let-7e-5p	MEG3
hsa-let-7e-5p	MEG3
hsa-let-7e-5p	MIR9-3HG
hsa-let-7e-5p	AC109460.3
hsa-let-7e-5p	AC106886.4
hsa-let-7e-5p	AC020978.5
hsa-let-7e-5p	SNHG30
hsa-let-7e-5p	AC008105.2
hsa-let-7e-5p	AC037487.4
hsa-let-7e-5p	SNHG16
hsa-let-7e-5p	AC087741.1
hsa-let-7e-5p	LINC00668
hsa-let-7e-5p	LINC00665
hsa-let-7e-5p	AC243964.4
hsa-let-7e-5p	SPACA6P-AS
hsa-let-7e-5p	ZNF337-AS1
hsa-let-7e-5p	ZNF337-AS1
hsa-let-7e-5p	AC003681.1
hsa-let-7e-5p	AC003681.1
hsa-let-7e-5p	AC003681.1
hsa-let-7e-5p	XIST
hsa-let-7e-5p	XIST
hsa-let-7e-5p	XIST
hsa-let-7e-5p	XIST
hsa-let-7f-5p	ZNF436-AS1
hsa-let-7f-5p	AL359762.3
hsa-let-7f-5p	MIR137HG
hsa-let-7f-5p	AL160006.1
hsa-let-7f-5p	THBS3-AS1
hsa-let-7f-5p	ASH1L-AS1
hsa-let-7f-5p	AC074117.1
hsa-let-7f-5p	AC074117.1
hsa-let-7f-5p	CYTOR
hsa-let-7f-5p	MIR4435-2HG
hsa-let-7f-5p	MIR4435-2HG
hsa-let-7f-5p	MIR4435-2HG
hsa-let-7f-5p	AC124045.1
hsa-let-7f-5p	AC093535.2
hsa-let-7f-5p	SNHG4
hsa-let-7f-5p	SNHG4
hsa-let-7f-5p	SNHG4
hsa-let-7f-5p	HEIH
hsa-let-7f-5p	HEIH
hsa-let-7f-5p	RNF216P1
hsa-let-7f-5p	RNF216P1
hsa-let-7f-5p	AC004921.1
hsa-let-7f-5p	MIR124-2HG
hsa-let-7f-5p	CYP4F26P
hsa-let-7f-5p	LINC00963
hsa-let-7f-5p	NUTM2A-AS1
hsa-let-7f-5p	KCNQ1OT1
hsa-let-7f-5p	KCNQ1OT1
hsa-let-7f-5p	KCNQ1OT1
hsa-let-7f-5p	KCNQ1OT1
hsa-let-7f-5p	KCNQ1OT1
hsa-let-7f-5p	KCNQ1OT1
hsa-let-7f-5p	KCNQ1OT1
hsa-let-7f-5p	KCNQ1OT1
hsa-let-7f-5p	LINC00294
hsa-let-7f-5p	NEAT1
hsa-let-7f-5p	NEAT1
hsa-let-7f-5p	NEAT1
hsa-let-7f-5p	AP000766.1
hsa-let-7f-5p	AC125807.2
hsa-let-7f-5p	AC006064.5
hsa-let-7f-5p	KLRK1-AS1
hsa-let-7f-5p	LINC02381
hsa-let-7f-5p	AC125603.1
hsa-let-7f-5p	TPT1-AS1
hsa-let-7f-5p	TPT1-AS1
hsa-let-7f-5p	TPT1-AS1
hsa-let-7f-5p	VASH1-AS1
hsa-let-7f-5p	AL162171.3
hsa-let-7f-5p	AL162171.3
hsa-let-7f-5p	AL162171.3
hsa-let-7f-5p	MEG3
hsa-let-7f-5p	MEG3
hsa-let-7f-5p	MIR9-3HG
hsa-let-7f-5p	AC109460.3
hsa-let-7f-5p	AC106886.4
hsa-let-7f-5p	AC020978.5
hsa-let-7f-5p	SNHG30
hsa-let-7f-5p	AC008105.2
hsa-let-7f-5p	AC037487.4
hsa-let-7f-5p	SNHG16
hsa-let-7f-5p	AC087741.1
hsa-let-7f-5p	LINC00668
hsa-let-7f-5p	LINC00665
hsa-let-7f-5p	AC243964.4
hsa-let-7f-5p	SPACA6P-AS
hsa-let-7f-5p	ZNF337-AS1
hsa-let-7f-5p	ZNF337-AS1
hsa-let-7f-5p	AC003681.1
hsa-let-7f-5p	AC003681.1
hsa-let-7f-5p	AC003681.1
hsa-let-7f-5p	XIST
hsa-let-7f-5p	XIST
hsa-let-7f-5p	XIST
hsa-let-7f-5p	XIST
hsa-let-7g-5p	ZNF436-AS1
hsa-let-7g-5p	AL359762.3
hsa-let-7g-5p	MIR137HG
hsa-let-7g-5p	AL160006.1
hsa-let-7g-5p	THBS3-AS1
hsa-let-7g-5p	ASH1L-AS1
hsa-let-7g-5p	AC074117.1
hsa-let-7g-5p	AC074117.1
hsa-let-7g-5p	CYTOR
hsa-let-7g-5p	MIR4435-2HG
hsa-let-7g-5p	MIR4435-2HG
hsa-let-7g-5p	MIR4435-2HG
hsa-let-7g-5p	AC124045.1
hsa-let-7g-5p	AC093535.2
hsa-let-7g-5p	SNHG4
hsa-let-7g-5p	SNHG4
hsa-let-7g-5p	SNHG4
hsa-let-7g-5p	HEIH
hsa-let-7g-5p	HEIH
hsa-let-7g-5p	RNF216P1
hsa-let-7g-5p	RNF216P1
hsa-let-7g-5p	AC004921.1
hsa-let-7g-5p	MIR124-2HG
hsa-let-7g-5p	CYP4F26P
hsa-let-7g-5p	LINC00963
hsa-let-7g-5p	NUTM2A-AS1
hsa-let-7g-5p	KCNQ1OT1
hsa-let-7g-5p	KCNQ1OT1
hsa-let-7g-5p	KCNQ1OT1
hsa-let-7g-5p	KCNQ1OT1
hsa-let-7g-5p	KCNQ1OT1
hsa-let-7g-5p	KCNQ1OT1
hsa-let-7g-5p	KCNQ1OT1
hsa-let-7g-5p	KCNQ1OT1
hsa-let-7g-5p	LINC00294
hsa-let-7g-5p	NEAT1
hsa-let-7g-5p	NEAT1
hsa-let-7g-5p	NEAT1
hsa-let-7g-5p	AP000766.1
hsa-let-7g-5p	AC125807.2
hsa-let-7g-5p	AC006064.5
hsa-let-7g-5p	KLRK1-AS1
hsa-let-7g-5p	LINC02381
hsa-let-7g-5p	AC125603.1
hsa-let-7g-5p	TPT1-AS1
hsa-let-7g-5p	TPT1-AS1
hsa-let-7g-5p	TPT1-AS1
hsa-let-7g-5p	VASH1-AS1
hsa-let-7g-5p	AL162171.3
hsa-let-7g-5p	AL162171.3
hsa-let-7g-5p	AL162171.3
hsa-let-7g-5p	MEG3
hsa-let-7g-5p	MEG3
hsa-let-7g-5p	MIR9-3HG
hsa-let-7g-5p	AC109460.3
hsa-let-7g-5p	AC106886.4
hsa-let-7g-5p	AC020978.5
hsa-let-7g-5p	SNHG30
hsa-let-7g-5p	AC008105.2
hsa-let-7g-5p	AC037487.4
hsa-let-7g-5p	SNHG16
hsa-let-7g-5p	AC087741.1
hsa-let-7g-5p	LINC00668
hsa-let-7g-5p	LINC00665
hsa-let-7g-5p	AC243964.4
hsa-let-7g-5p	SPACA6P-AS
hsa-let-7g-5p	ZNF337-AS1
hsa-let-7g-5p	ZNF337-AS1
hsa-let-7g-5p	AC003681.1
hsa-let-7g-5p	AC003681.1
hsa-let-7g-5p	AC003681.1
hsa-let-7g-5p	XIST
hsa-let-7g-5p	XIST
hsa-let-7g-5p	XIST
hsa-let-7g-5p	XIST
hsa-let-7i-5p	ZNF436-AS1
hsa-let-7i-5p	AL359762.3
hsa-let-7i-5p	MIR137HG
hsa-let-7i-5p	AL160006.1
hsa-let-7i-5p	THBS3-AS1
hsa-let-7i-5p	ASH1L-AS1
hsa-let-7i-5p	AC074117.1
hsa-let-7i-5p	AC074117.1
hsa-let-7i-5p	AC074117.1
hsa-let-7i-5p	CYTOR
hsa-let-7i-5p	MIR4435-2HG
hsa-let-7i-5p	MIR4435-2HG
hsa-let-7i-5p	MIR4435-2HG
hsa-let-7i-5p	AC124045.1
hsa-let-7i-5p	AC093535.2
hsa-let-7i-5p	SNHG4
hsa-let-7i-5p	SNHG4
hsa-let-7i-5p	SNHG4
hsa-let-7i-5p	HEIH
hsa-let-7i-5p	HEIH
hsa-let-7i-5p	RNF216P1
hsa-let-7i-5p	RNF216P1
hsa-let-7i-5p	AC004921.1
hsa-let-7i-5p	MIR124-2HG
hsa-let-7i-5p	CYP4F26P
hsa-let-7i-5p	LINC00963
hsa-let-7i-5p	NUTM2A-AS1
hsa-let-7i-5p	KCNQ1OT1
hsa-let-7i-5p	KCNQ1OT1
hsa-let-7i-5p	KCNQ1OT1
hsa-let-7i-5p	KCNQ1OT1
hsa-let-7i-5p	KCNQ1OT1
hsa-let-7i-5p	KCNQ1OT1
hsa-let-7i-5p	KCNQ1OT1
hsa-let-7i-5p	KCNQ1OT1
hsa-let-7i-5p	LINC00294
hsa-let-7i-5p	NEAT1
hsa-let-7i-5p	NEAT1
hsa-let-7i-5p	NEAT1
hsa-let-7i-5p	AP000766.1
hsa-let-7i-5p	AC125807.2
hsa-let-7i-5p	AC006064.5
hsa-let-7i-5p	KLRK1-AS1
hsa-let-7i-5p	LINC02381
hsa-let-7i-5p	AC125603.1
hsa-let-7i-5p	TPT1-AS1
hsa-let-7i-5p	TPT1-AS1
hsa-let-7i-5p	TPT1-AS1
hsa-let-7i-5p	VASH1-AS1
hsa-let-7i-5p	AL162171.3
hsa-let-7i-5p	AL162171.3
